DDInter_ID_A,Drug_A,DrugBank_ID_A,DDInter_ID_B,Drug_B,DrugBank_ID_B,severity,PrimeKG_node_A,PrimeKG_node_B,mapping_method_A,mapping_method_B,PrimeKG_known_overlap
DDInter1000,Ivosidenib,DB14568,DDInter307,Castor oil,DB11113,Moderate,4522,8085,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter346,Cevimeline,DB00185,Minor,4522,3858,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter43,Alfentanil,DB00802,Moderate,4522,3022,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter480,Darifenacin,DB00496,Moderate,4522,3886,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter54,Alprazolam,DB00404,Moderate,4522,2947,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter583,Donepezil,DB00843,Moderate,4522,3909,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter585,Doravirine,DB12301,Moderate,4522,3839,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter655,Epirubicin,DB00445,Major,4522,3502,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter664,Ergometrine,DB01253,Moderate,4522,4281,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter678,Esterified estrogens,DB09381,Moderate,4522,3302,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter705,Exemestane,DB00990,Moderate,4522,3600,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter722,Fentanyl,DB00813,Major,4522,3024,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter731,Fesoterodine,DB06702,Moderate,4522,3995,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter737,Fingolimod,DB08868,Major,4522,4612,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter760,Fluphenazine,DB00623,Major,4522,3893,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter765,Flutamide,DB00499,Major,4522,3570,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter777,Fosamprenavir,DB01319,Major,4522,4286,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter787,Frangula purshiana bark,DB15478,Moderate,4522,9818,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter8,Abiraterone,DB05812,Major,4522,3159,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter832,Glycerin,DB09462,Moderate,4522,3495,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter847,Guanfacine,DB01018,Moderate,4522,4263,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter854,Halothane,DB01159,Major,4522,3095,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter884,Hydrocodone,DB00956,Major,4522,3915,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter899,Ibrutinib,DB09053,Moderate,4522,3194,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter904,Idarubicin,DB01177,Major,4522,3932,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter917,Indinavir,DB00224,Major,4522,3722,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter982,Isoetharine,DB00221,Moderate,4522,5312,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1000,Ivosidenib,DB14568,DDInter987,Isoprenaline,DB01064,Major,4522,4651,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1001,Ixabepilone,DB04845,DDInter1002,Ixazomib,DB09570,Moderate,4322,4023,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1001,Ixabepilone,DB04845,DDInter1026,Larotrectinib,DB14723,Moderate,4322,4528,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1001,Ixabepilone,DB04845,DDInter1027,Lasmiditan,DB11732,Moderate,4322,4027,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1001,Ixabepilone,DB04845,DDInter1054,Levodopa,DB01235,Moderate,4322,3104,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1001,Ixabepilone,DB04845,DDInter1094,Lorlatinib,DB12130,Moderate,4322,3837,exact normalized-name fallback,exact normalized-name fallback,false
DDInter1001,Ixabepilone,DB04845,DDInter1106,Lusutrombopag,DB13125,Moderate,4322,3482,exact normalized-name fallback,exact normalized-name fallback,false
