Drug_A,DrugBank_ID_A,PrimeKG_node_A,Drug_B,DrugBank_ID_B,PrimeKG_node_B,mapping_method_A,mapping_method_B,source_row_count,unique_description_count,PrimeKG_train_overlap,PrimeKG_known_overlap
Aceclofenac,DB06736,4577,Ceritinib,DB09063,4396,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Cholecalciferol,DB00169,3344,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Citric acid,DB04272,5133,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Clobetasone,DB13158,4486,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Clocortolone,DB00838,6560,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Clotrimazole,DB00257,3867,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Dabrafenib,DB08912,4386,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Daunorubicin,DB00694,3572,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Delavirdine,DB00705,3750,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Desonide,DB01260,4283,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Diflorasone,DB00223,6558,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Difluprednate,DB06781,4365,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Dinoprostone,DB00917,5003,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Doxorubicin,DB00997,3058,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Efavirenz,DB00625,2992,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Epirubicin,DB00445,3502,exact normalized-name,exact normalized-name,1,1,False,False
Aceclofenac,DB06736,4577,Equilin,DB02187,4307,exact normalized-name,exact normalized-name,1,1,False,False
